datetime,date,unknown_1,unknown_2,4-8_GHz_start,unknown_24,unknown_45,unknown_46,unknown_47,unknown_25,unknown_26,unknown_27,unknown_5,unknown_9,unknown_13,unknown_17,unknown_28,unknown_29,unknown_30,unknown_31,unknown_32,unknown_33,unknown_34,unknown_35,unknown_36,unknown_37,unknown_38,unknown_39,unknown_40,unknown_41,unknown_42,unknown_43,unknown_3,unknown_4,unknown_6,unknown_7,unknown_10,unknown_11,unknown_12,unknown_14,unknown_15,unknown_16,unknown_18,unknown_19,unknown_20,unknown_21,unknown_22,unknown_8,duty_officer,4-8_GHz_start_min
2022-02-28 00:00:00,2022-02-28,-16С,солнце,01 00,09 00,01 00,09 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0
2022-03-01 00:00:00,2022-03-01,-7С,солнце,01 00,09 00,01 00,09 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0
2022-03-02 00:00:00,2022-03-02,-21С,солнце,01 00,09 00,01 00,09 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0
2022-03-03 00:00:00,2022-03-03,-11С,облачно,01 00,09 00,01 00,09 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0
2022-03-04 00:00:00,2022-03-04,-20С,солнце,00 50,09 00,00 50,09 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0
2022-03-05 00:00:00,2022-03-05,-17С,облачно,00 50,09 00,00 50,09 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0
2022-03-06 00:00:00,2022-03-06,-16С,солнце,00 50,09 00,00 50,09 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0
2022-03-07 00:00:00,2022-03-07,-7С,облачно,00 50,09 00,00 50,09 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0
2022-03-08 00:00:00,2022-03-08,-8С,солнце,00 50,09 00,00 50,09 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0
2022-03-09 00:00:00,2022-03-09,-5С,солнце,00 40,09 00,00 50,09 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0
2022-03-10 00:00:00,2022-03-10,-9С,солнце,00 40,09 00,00 40,09 00,перезагрузка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0
2022-03-11 00:00:00,2022-03-11,-8С,снег,00 40,09 00,01 14,09 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0
2022-03-12 00:00:00,2022-03-12,-15С,солнце,00 40,09 00,00 40,09 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0
2022-03-13 00:00:00,2022-03-13,-10С,снег,00 40,09 00,00 40,09 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0
2022-03-14 00:00:00,2022-03-14,-13С,снег,00 40,09 00,00 40,09 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0
2022-03-15 00:00:00,2022-03-15,-22С,солнце,00 40,09 00,00 40,09 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0
